周次,课堂主学段,老师ID,老师艺名,教学老师五级部门,教学老师六级部门,课中首答正确率,课中末答正确率,课后首答正确率,课后末答正确率,作业完成率,预习率,小老师视频提交率,出勤率
W1,S3-S5,4935.0,蘑菇老師,海外益智台湾教学区,台湾01组,0.74061,0.83647,,0.71667,0.86957,0.86957,0.17391,
W1,S6-S7,76395.0,星星燈老師,海外益智台湾教学区,台湾01组,0.66457,0.96569,0.66667,0.88462,0.76471,,,1.0
W1,S1-S2,76902.0,糰子老師,海外益智台湾教学区,台湾01组,,,,,0.91892,0.86486,0.67568,
W1,S6-S7,7391.0,小加老師,海外益智台湾教学区,,0.74275,0.95278,0.875,0.875,0.33333,,,1.0
W1,S3-S5,72663.0,Antheia,海外益智外教教学区,外教02组,0.77402,0.96457,,0.91769,0.82759,0.82759,0.25862,
W1,S3-S5,72664.0,Rachlin老师,海外益智外教教学区,外教02组,0.89004,0.95428,,0.86475,0.84058,0.88406,0.68116,
W1,S3-S5,72769.0,Eliza老师,海外益智外教教学区,外教02组,0.65784,0.91413,,0.81752,0.64407,0.77966,0.18644,
W1,S1-S2,72770.0,Irish老师,海外益智外教教学区,外教02组,,,,,0.66667,0.76,0.13333,
W1,S3-S5,75279.0,Rovie老师,海外益智外教教学区,外教02组,0.59698,0.9201,,0.83108,0.7551,0.80612,0.27551,
W1,S3-S5,75280.0,Jonery老师,海外益智外教教学区,外教02组,0.92519,0.97948,,0.93548,0.80519,0.93506,0.71429,
W1,S1-S2,75281.0,Shine老师,海外益智外教教学区,外教02组,,,,,0.9375,0.625,0.21875,
W1,S3-S5,75282.0,Patrice老师,海外益智外教教学区,外教02组,0.78691,0.90805,,0.83333,0.69643,0.85714,0.32143,
W1,S1-S2,75343.0,Ziah老师,海外益智外教教学区,外教02组,,,,,0.81818,0.89091,0.45455,
W1,S1-S2,75631.0,Glendie老师,海外益智外教教学区,外教02组,,,,,0.74359,0.92308,0.35897,
W1,S3-S5,75632.0,Jane老师,海外益智外教教学区,外教02组,0.71775,0.92496,,0.82111,0.66667,0.73333,0.06667,
W1,S3-S5,75633.0,Myreen老师,海外益智外教教学区,外教02组,0.68718,0.96429,,0.97778,0.66667,0.85714,0.2381,
W1,S1-S2,76101.0,Esme,海外益智外教教学区,外教02组,,,,,0.65517,0.7931,0.34483,
W1,S3-S5,76102.0,Ellie,海外益智外教教学区,外教02组,0.52133,0.94533,,0.87719,0.62963,0.81481,0.2963,
W1,S3-S5,76234.0,Daze,海外益智外教教学区,外教02组,0.67519,0.92929,,0.92222,0.88235,0.88235,0.41176,
W1,S3-S5,76235.0,Jannie,海外益智外教教学区,外教02组,0.7075,0.97547,,0.83824,0.80952,0.80952,0.47619,
W1,S1-S2,76236.0,Precious,海外益智外教教学区,外教02组,,,,,0.86364,0.77273,0.38636,
W1,S3-S5,76238.0,Tess Kervin,海外益智外教教学区,外教02组,0.76015,0.94898,,0.86842,0.85714,0.95238,0.2381,
W1,S3-S5,76474.0,Thomas老师01,海外益智外教教学区,外教02组,0.64953,0.95972,,0.9375,0.5,0.6875,0.375,
W1,S1-S2,76475.0,Skye老师,海外益智外教教学区,外教02组,,,,,0.81395,0.76744,0.13953,
W1,S3-S5,76777.0,Ivy01,海外益智外教教学区,外教02组,0.60833,0.99038,,0.93182,0.76923,0.76923,0.19231,
W1,S1-S2,76779.0,Ariana,海外益智外教教学区,外教02组,,,,,0.76,0.8,0.12,
W1,S1-S2,76778.0,Alaine,海外益智外教教学区,外教02组,,,,,0.88889,0.66667,0.33333,
W1,S3-S5,67908.0,Cleo脸脸老师,海外益智英语教学区,英语01组,0.64166,0.97143,,0.93162,0.66,0.68,0.1,
W1,S1-S2,69198.0,Fayki老师,海外益智英语教学区,英语01组,,,,,0.72973,0.66216,0.12162,
W1,S1-S2,70662.0,Captain老师,海外益智英语教学区,英语01组,,,,,0.78378,0.64865,0.2027,
W1,S1-S2,70663.0,Candice老师,海外益智英语教学区,英语01组,,,,,0.75,0.875,0.05357,
W1,S1-S2,75936.0,Dora老师,海外益智英语教学区,英语01组,,,,,0.67532,0.79221,0.25974,
W1,S1-S2,76065.0,Alyssa老师,海外益智英语教学区,英语01组,,,,,0.8125,0.77083,0.25,
W1,S1-S2,74007.0,Elsa老师,海外益智英语教学区,英语01组,,,,,0.85556,0.76667,0.21111,
W1,S3-S5,67469.0,Iris老师,海外益智英语教学区,英语02组,0.77428,0.94921,,0.96011,0.86567,0.95522,0.1194,
W1,S3-S5,68147.0,Krys老师,海外益智英语教学区,英语02组,0.76496,0.98454,,0.9765,0.70588,0.90196,0.13725,
W1,S3-S5,68510.0,Cady老师,海外益智英语教学区,英语02组,0.87996,0.97573,,0.97418,0.83133,0.9759,0.22892,
W1,S3-S5,69199.0,Elena老师,海外益智英语教学区,英语02组,0.6442,0.91758,,0.9594,0.62903,0.58871,0.1371,
W1,S3-S5,69608.0,Peppa老师,海外益智英语教学区,英语02组,0.66477,0.96626,,0.85714,0.66667,0.73333,0.13333,
W1,S3-S5,69693.0,大橘子老师,海外益智英语教学区,英语02组,0.69962,0.93625,,0.9026,0.67857,0.79464,0.27679,
W1,S3-S5,69694.0,阿西娜老师,海外益智英语教学区,英语02组,0.75808,0.8825,,0.94167,0.64516,0.90323,0.09677,
W1,S3-S5,70178.0,KC老师,海外益智英语教学区,英语02组,0.72601,0.99151,,0.94949,0.74157,0.62921,0.30337,
W1,S3-S5,71359.0,Linda老师,海外益智英语教学区,英语02组,0.62261,0.97626,,0.93621,0.70667,0.76,0.14667,
W1,S3-S5,71842.0,Joanna老师,海外益智英语教学区,英语02组,0.64466,0.9355,,0.9178,0.816,0.864,0.088,
W1,S3-S5,8486.0,小莫老师,海外益智英语教学区,英语03组,0.82024,0.9808,,0.98357,0.80682,0.85227,0.34091,
W1,S3-S5,10236.0,波克比老师,海外益智英语教学区,英语03组,0.67142,0.92061,,0.92896,0.66265,0.80723,0.09639,
W1,S3-S5,67086.0,Bagel老师,海外益智英语教学区,英语03组,0.72203,0.90963,,0.94114,0.77206,0.83824,0.125,
W1,S3-S5,67470.0,Diana老师,海外益智英语教学区,英语03组,0.74111,0.97288,,0.97368,0.75,0.9,0.18,
W1,S3-S5,69032.0,艾米丽老师,海外益智英语教学区,英语03组,0.71238,0.97346,,0.92694,0.7619,0.84127,0.25397,
W1,S3-S5,69119.0,橙卡卡老师,海外益智英语教学区,英语03组,0.62333,0.84707,,0.86667,0.65333,0.61333,0.08,
W1,S3-S5,69855.0,yoyo猫老师,海外益智英语教学区,英语03组,0.73479,0.9118,,0.88596,0.79167,0.70833,0.3125,
W1,S3-S5,71358.0,Faith老师,海外益智英语教学区,英语03组,0.7098,0.98534,,0.93803,0.74757,0.8835,0.24272,
W1,S3-S5,75741.0,Louis老师,海外益智英语教学区,英语03组,0.72398,0.97469,,0.9085,0.74194,0.90323,0.14516,
W1,S3-S5,75771.0,Hayes老师,海外益智英语教学区,英语03组,0.61628,0.93448,,0.90617,0.71622,0.63514,0.17568,
W1,S6-S7,71175.0,Jelly老师,海外益智英语教学区,英语03组,0.43507,0.77581,0.58333,0.75309,0.55319,,,0.83929
W1,S3-S5,11698.0,麦米米老师,海外益智英语教学区,英语04组,0.53724,0.94461,,0.94262,0.67442,0.7093,0.03488,
W1,S3-S5,12246.0,冻冻老师,海外益智英语教学区,英语04组,0.62658,0.93548,,0.89109,0.72263,0.73723,0.09489,
W1,S6-S7,12258.0,可颂老师,海外益智英语教学区,英语04组,0.6395,0.90336,0.8,0.91667,0.58824,,,1.0
W1,S3-S5,65138.0,Cia老师,海外益智英语教学区,英语04组,0.57398,0.9081,,0.89333,0.63043,0.71739,0.15217,
W1,S3-S5,65873.0,Mona老师,海外益智英语教学区,英语04组,0.5802,0.86468,,0.80056,0.73043,0.66087,0.13043,
W1,S3-S5,67208.0,Icy小冰晶老师,海外益智英语教学区,英语04组,0.60443,0.94105,,0.84127,0.71698,0.88679,0.0566,
W1,S3-S5,68943.0,Debbie老师,海外益智英语教学区,英语04组,0.69509,0.89509,,0.94167,0.74074,0.71605,0.1358,
W1,S3-S5,70274.0,Cheryl老师,海外益智英语教学区,英语04组,0.54877,0.83379,,0.81863,0.65385,0.83333,0.11538,
W1,S3-S5,71503.0,Show老师,海外益智英语教学区,英语04组,0.65835,0.91989,,0.93127,0.77869,0.88525,0.12295,
W1,S3-S5,49935.0,木西老师,海外益智英语教学区,英语04组,0.59793,0.95501,,0.91503,0.66667,0.82979,0.0922,
W1,S3-S5,65795.0,橙橙子老师,海外益智英语教学区,英语03组,0.58285,0.96078,,0.88438,0.73563,0.71264,0.13793,
W1,S3-S5,65932.0,Bubble老师,海外益智英语教学区,英语06组,0.62102,0.90777,,0.94017,0.72549,0.76471,0.05882,
W1,S3-S5,66240.0,Lisa老师,海外益智英语教学区,英语04组,0.6693,0.906,,0.80556,0.60465,0.81395,0.13953,
W1,S3-S5,66246.0,Nicki老师,海外益智英语教学区,英语04组,0.68313,0.85319,,0.8107,0.80208,0.91667,0.20833,
W1,S3-S5,69120.0,甜杏儿老师,海外益智英语教学区,英语06组,0.71939,0.98391,,0.95167,0.69767,0.86047,0.13953,
W1,S3-S5,69785.0,Poka老师,海外益智英语教学区,英语04组,0.64912,0.87236,,0.93125,0.71818,0.8,0.16364,
W1,S3-S5,70990.0,HannaChen老师,海外益智英语教学区,英语02组,0.5567,0.88388,,0.90476,0.7218,0.79699,0.09774,
W1,S6-S7,639.0,巧克力老师,海外益智英语教学区,英语06组,0.66394,0.9582,0.44444,0.88889,0.43243,,,0.90244
W1,S6-S7,10735.0,婉婉老师,海外益智英语教学区,英语06组,0.67406,0.87689,0.74028,0.975,0.70513,,,0.88636
W1,S6-S7,15305.0,阿蕃老师,海外益智英语教学区,英语06组,0.59206,0.89391,0.66406,0.9362,0.66304,,,0.82883
W1,S6-S7,25151.0,颖儿老师,海外益智英语教学区,英语06组,0.66226,0.89307,0.7878,0.92955,0.61806,,,0.9172
W1,S6-S7,28523.0,橘子汽水老师,海外益智英语教学区,英语06组,0.38425,0.56906,0.60484,0.94355,0.55769,,,0.88136
W1,S6-S7,65664.0,泽普老师,海外益智英语教学区,英语06组,0.52645,0.73949,0.67302,0.9127,0.39583,,,0.85714
W1,S6-S7,66159.0,雷阵雨老师,海外益智英语教学区,英语06组,0.64426,0.89683,0.59946,0.94309,0.68072,,,0.8877
W1,S6-S7,66706.0,Raphel老师,海外益智英语教学区,英语06组,0.67945,0.96364,0.5977,0.84483,0.6625,,,0.96386
W1,S6-S7,69688.0,抹香鲸老师,海外益智英语教学区,英语06组,0.57551,0.89583,0.60294,0.94608,0.58333,,,0.82759
W1,S3-S5,70853.0,Selina老师,海外益智英语教学区,英语06组,0.79614,0.97513,,0.84902,0.89474,0.91228,0.33333,
W1,S6-S7,76221.0,Sylvia老师,海外益智英语教学区,英语07组,0.6403,0.89576,0.53333,0.8,0.625,,,0.8
W1,S6-S7,7561.0,大辉猫老师,海外益智英语教学区,英语07组,0.54287,0.78676,0.63542,0.88244,0.58065,,,0.86916
W1,S8-S9,11926.0,查查老师,海外益智英语教学区,英语07组,0.52245,0.78768,0.69677,0.79785,0.34247,,,0.92405
W1,S6-S7,12858.0,肥鸭老师,海外益智英语教学区,英语07组,0.45045,0.82685,0.6131,0.94643,0.69231,,,0.88636
W1,S8-S9,14674.0,小潘潘老师,海外益智英语教学区,英语07组,0.42593,0.85185,0.64815,0.9537,0.31429,,,0.79545
W1,S8-S9,27466.0,香蕉鱼老师,海外益智英语教学区,英语07组,0.54231,0.79744,0.52451,0.73137,0.5,,,0.85
W1,S8-S9,27915.0,polly老师,海外益智英语教学区,英语07组,0.52654,0.73272,0.67917,0.9375,0.21622,,,0.925
W1,S8-S9,65797.0,vickey老师,海外益智英语教学区,英语07组,0.16667,1.0,0.61778,0.88889,0.28571,,,0.80769
W1,S3-S5,66777.0,Lydia老师,海外益智英语教学区,英语07组,0.60091,0.93848,,0.85614,0.68831,0.75325,0.03896,
W1,S6-S7,67060.0,哈密瓜瓜老师,海外益智英语教学区,英语07组,0.54714,0.82804,0.7305,0.90071,0.64706,,,0.85
W1,S8-S9,69938.0,Evan老师,海外益智英语教学区,英语07组,0.47484,0.8026,0.42552,0.61823,0.38095,,,0.81553
W1,S6-S7,68273.0,Millie老师,海外益智英语教学区,英语07组,0.65519,0.92915,0.62644,0.8908,0.53846,,,0.86667
W1,S3-S5,8162.0,阿九老师,海外益智英语教学区,英语07组,0.73463,0.90301,,1.0,0.91803,0.90164,0.2623,
W1,S8-S9,76809.0,Krystal老师,海外益智英语教学区,英语07组,0.0,0.0,0.5,0.5,0.15385,,,0.8125
W1,S8-S9,2857.0,彩笔老师,海外益智英语教学区,,0.66346,0.97209,0.77083,0.93333,0.64516,,,0.93939
W1,S1-S2,1978.0,朵拉老師,海外益智粤语教学区,粤语01组,,,,,0.81944,0.86111,0.22222,
W1,S1-S2,3606.0,米滾老師,海外益智粤语教学区,粤语01组,,,,,0.69048,0.90476,0.07143,
W1,S1-S2,13050.0,小米粉老師,海外益智粤语教学区,粤语01组,,,,,0.80357,0.78571,0.08929,
W1,S1-S2,33866.0,小迪迦老師,海外益智粤语教学区,粤语01组,,,,,0.87097,0.90323,0.29032,
W1,S1-S2,70500.0,大眼仔老師,海外益智粤语教学区,粤语01组,,,,,0.87931,0.87931,0.15517,
W1,S3-S5,70668.0,米兜兜老師,海外益智粤语教学区,粤语01组,0.79588,0.98435,,0.95411,0.85185,0.77778,0.09877,
W1,S1-S2,71178.0,沙士老師,海外益智粤语教学区,粤语01组,,,,,0.85135,0.91892,0.16216,
W1,S3-S5,72838.0,小卜卜老師,海外益智粤语教学区,粤语01组,0.78173,0.98166,,0.98404,0.90385,0.90385,0.43269,
W1,S1-S2,74635.0,糯米團老師,海外益智粤语教学区,粤语01组,,,,,,,,
W1,S1-S2,75165.0,小茶壺老師,海外益智粤语教学区,粤语01组,,,,,0.78481,0.93671,0.46835,
W1,S1-S2,21216.0,沒吃飽老師,海外益智粤语教学区,粤语01组,,,,,0.71111,0.86667,0.13333,
W1,S1-S2,76305.0,蝦餃老師,海外益智粤语教学区,粤语01组,,,,,0.74468,0.70213,0.41489,
W1,S1-S2,12223.0,藍莓子老師,海外益智粤语教学区,粤语01组,,,,,0.74194,0.80645,0.12903,
W1,S1-S2,297.0,兔子老師,海外益智粤语教学区,粤语02组,,,,,0.82609,1.0,0.17391,
W1,S3-S5,1125.0,咕咕老師,海外益智粤语教学区,粤语02组,0.72222,0.9045,,0.94658,0.8125,0.72917,0.17708,
W1,S3-S5,37174.0,榴蓮老師,海外益智粤语教学区,粤语02组,0.79335,0.97808,,0.86494,0.79452,0.83562,0.13699,
W1,S3-S5,49995.0,小yes老師,海外益智粤语教学区,粤语02组,0.66935,0.91571,,0.94017,0.84783,0.71739,0.17391,
W1,S3-S5,65089.0,豌豆羊羊老師,海外益智粤语教学区,粤语02组,0.81522,0.97662,,0.99249,0.89516,0.83065,0.1371,
W1,S3-S5,69075.0,彩虹花花老師,海外益智粤语教学区,粤语02组,0.6749,0.98648,,0.91799,0.7439,0.82927,0.20732,
W1,S3-S5,69242.0,Alpha老師,海外益智粤语教学区,粤语02组,0.67638,0.94528,,0.87121,0.76761,0.80282,0.0493,
W1,S3-S5,71505.0,Freya老師,海外益智粤语教学区,粤语02组,0.72971,0.96927,,0.91111,0.7766,0.75532,0.15957,
W1,S3-S5,71999.0,電燈泡老師,海外益智粤语教学区,粤语02组,0.74379,0.97714,,0.98942,0.80263,0.94737,0.17105,
W1,S1-S2,75641.0,糖小七老師,海外益智粤语教学区,粤语02组,,,,,0.81013,0.70886,0.22785,
W1,S3-S5,76532.0,小布丁老師,海外益智粤语教学区,粤语02组,0.80052,0.9681,,0.92593,0.68571,0.85714,0.08571,
W1,S1-S2,2144.0,鹿角老師,海外益智粤语教学区,粤语03组,,,,,0.81132,0.92453,0.09434,
W1,S3-S5,3327.0,艾德老師,海外益智粤语教学区,粤语03组,0.75063,0.9006,,0.89697,0.80597,0.79104,0.19403,
W1,S3-S5,67405.0,蠟筆老師,海外益智粤语教学区,粤语03组,0.70611,0.91639,,0.96396,0.81111,0.9,0.17778,
W1,S3-S5,68002.0,知意老師,海外益智粤语教学区,粤语03组,0.70466,0.95145,,0.97619,0.90909,0.94805,0.18182,
W1,S3-S5,68055.0,Kristy老師,海外益智粤语教学区,粤语03组,0.70731,0.95139,,0.93907,0.75833,0.89167,0.11667,
W1,S3-S5,69202.0,小早老師,海外益智粤语教学区,粤语03组,0.71964,0.90261,,0.94589,0.88506,0.87356,0.18391,
W1,S3-S5,69415.0,Carmen老師,海外益智粤语教学区,粤语03组,0.79378,0.96804,,0.97059,0.85,0.9,0.23,
W1,S3-S5,70018.0,檸檬茶老師,海外益智粤语教学区,粤语03组,0.77431,0.90307,,0.99053,0.84615,0.86538,0.50962,
W1,S3-S5,74071.0,熊仔老師,海外益智粤语教学区,粤语03组,0.69389,0.96974,,0.9187,0.82,0.88,0.24,
W1,S3-S5,74735.0,紫蛋卷老師,海外益智粤语教学区,粤语03组,0.71225,0.93958,,0.96154,0.72222,0.81481,0.37037,
W1,S3-S5,76833.0,粟米老師,海外益智粤语教学区,粤语03组,0.53622,0.86059,,0.86957,0.71875,0.8125,0.15625,
W1,S3-S5,1528.0,貓貓老師,海外益智粤语教学区,粤语04组,0.72661,0.97264,,0.94074,0.76786,0.82143,0.02679,
W1,S3-S5,1579.0,袋袋老師,海外益智粤语教学区,粤语04组,0.67513,0.99543,,0.88333,0.79452,0.80822,0.05479,
W1,S3-S5,1962.0,卷卷老師,海外益智粤语教学区,粤语04组,0.74331,0.99592,,0.86667,0.79592,0.79592,0.2449,
W1,S3-S5,5782.0,茶杯老師,海外益智粤语教学区,粤语04组,0.74442,0.9871,,0.92029,0.66272,0.88757,0.05917,
W1,S3-S5,14801.0,狸花貓老師,海外益智粤语教学区,粤语04组,0.74385,0.9432,,0.97475,0.75581,0.88372,0.11628,
W1,S3-S5,66862.0,衣服老師,海外益智粤语教学区,粤语04组,0.61608,0.96002,,0.83562,0.73469,0.90816,0.14286,
W1,S3-S5,68466.0,Cycle老師,海外益智粤语教学区,粤语04组,0.68613,0.94239,,0.93651,0.80392,0.82353,0.01961,
W1,S3-S5,69503.0,邱小喬老師,海外益智粤语教学区,粤语04组,0.67469,0.96154,,0.93732,0.75658,0.92105,0.125,
W1,S3-S5,70859.0,抹茶茶老師,海外益智粤语教学区,粤语04组,0.6625,0.93345,,0.7451,0.61818,0.63636,0.05455,
W1,S3-S5,731.0,莎莎老師,海外益智粤语教学区,粤语05组,0.52464,0.92619,,0.87398,0.83673,0.85714,0.32653,
W1,S6-S7,758.0,芋圓老師,海外益智粤语教学区,粤语05组,0.74514,0.88303,0.63768,0.81522,0.83636,,,0.91667
W1,S3-S5,5439.0,禾禾老師,海外益智粤语教学区,粤语05组,0.74391,0.94502,,0.84234,0.68519,0.7963,0.05556,
W1,S3-S5,9456.0,畫筆老師,海外益智粤语教学区,粤语05组,0.76945,0.99593,,0.92549,0.80189,0.84906,0.0566,
W1,S3-S5,67802.0,加傑老師,海外益智粤语教学区,粤语05组,0.67945,0.93532,,0.82609,0.70769,0.86154,0.03077,
W1,S3-S5,67996.0,茉茉老師,海外益智粤语教学区,粤语05组,0.69782,0.98122,,0.92424,0.73333,0.84444,0.26667,
W1,S3-S5,69854.0,MeowMeow老師,海外益智粤语教学区,粤语05组,0.6523,0.92219,,0.95333,0.70588,0.76471,0.05882,
W1,S3-S5,6058.0,道道老師,海外益智粤语教学区,粤语05组,0.74806,0.98601,,0.94574,0.79245,0.9434,0.07547,
W1,S3-S5,1417.0,麵條老師,海外益智粤语教学区,粤语05组,0.71957,0.91054,,0.90523,0.67586,0.8,0.06897,
W1,S3-S5,71088.0,太陽精靈老師,海外益智粤语教学区,粤语05组,0.77239,0.995,,0.9529,0.76667,0.88333,0.18333,
W1,S6-S7,66094.0,牧童老师,海外益智粤语教学区,粤语05组,0.51412,0.77222,0.58333,0.85,0.52632,,,0.67857
W1,S8-S9,1239.0,mark老師,海外益智粤语教学区,粤语06组,0.45179,0.70071,0.41667,0.41667,0.5,,,0.66667
W1,S3-S5,3719.0,酸酸老師,海外益智粤语教学区,粤语06组,0.58959,0.95945,,0.96,0.68571,0.85714,0.17143,
W1,S3-S5,10434.0,大威老師,海外益智粤语教学区,粤语06组,0.56987,0.82411,,0.89352,0.74468,0.91489,0.08511,
W1,S1-S2,14002.0,肉多多老師,海外益智粤语教学区,粤语06组,,,,,0.86765,0.85294,0.13235,
W1,S1-S2,14007.0,小紅豆老師,海外益智粤语教学区,粤语06组,,,,,0.83516,0.9011,0.18681,
W1,S8-S9,66817.0,奧力老師,海外益智粤语教学区,粤语06组,0.59344,0.87988,0.65833,0.74167,0.42553,,,0.88679
W1,S6-S7,66818.0,Kitty貓老師,海外益智粤语教学区,粤语06组,0.7793,0.98643,0.69608,0.92157,0.34884,,,0.84314
W1,S3-S5,66860.0,MINO老師,海外益智粤语教学区,粤语06组,0.70501,0.93207,,0.85938,0.55172,0.75862,0.03448,
W1,S6-S7,69212.0,鯊魚辣椒老師,海外益智粤语教学区,粤语06组,0.5622,0.96602,0.61111,0.96667,0.53571,,,0.83582
W1,S6-S7,69521.0,GOGO老師,海外益智粤语教学区,粤语06组,0.62049,0.92574,0.46396,0.66667,0.62712,,,0.8806
W1,S3-S5,70273.0,小腰果老師,海外益智粤语教学区,粤语06组,0.73451,0.94534,,0.86842,0.63333,0.66667,0.1,
W1,S6-S7,2650.0,水蜜桃老師,海外益智粤语教学区,粤语06组,0.68026,0.97533,0.57692,0.82906,0.70909,,,0.85938
W1,S3-S5,941.0,coco老師,海外益智粤语教学区,,0.65657,1.0,,0.94444,0.66667,0.83333,0.0,
W1,S8-S9,73935.0,Dainty老师,英语外教教学督导团队,,0.55556,0.94444,0.83333,0.83333,0.2,,,0.71429
W1,S3-S5,69416.0,Peggy老師,质量培训组,,0.66569,0.96077,,0.94928,0.86792,0.9434,0.20755,
W1,S6-S7,8017.0,Jessica老师,质量培训组,,0.68557,0.89153,0.65741,0.89352,0.55738,,,0.85915
W1,S3-S5,75864.0,Martin老师,质量培训组,,0.9229,1.0,,0.6,0.9,0.7,0.6,
W1,S6-S7,936.0,YOYO老師,质量培训组,,0.54957,0.80956,0.47807,0.68421,0.66667,,,0.91935
